City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
hobart,-42.88,147.33,57.2,47,40,5.82,AU,1597818296
rikitea,-23.12,-134.97,71.78,82,71,12.71,PF,1597818551
jalu,29.03,21.55,81.25,43,0,6.96,LY,1597818551
thinadhoo,0.53,72.93,84.76,68,84,9.04,MV,1597818551
mataura,-46.19,168.86,52,89,63,1.99,NZ,1597818551
sal rei,16.18,-22.92,78.8,74,75,11.41,CV,1597818551
namibe,-15.2,12.15,62.06,83,0,4.97,AO,1597818551
jiuquan,39.74,98.52,90.79,12,0,15.23,CN,1597818312
kholmogory,64.22,41.66,55.4,71,20,4.47,RU,1597818292
charlestown,-32.95,151.67,68,32,9,11.01,AU,1597818552
karlstad,59.38,13.5,64.99,100,20,2.39,SE,1597818552
qaqortoq,60.72,-46.03,48.2,70,0,3.36,GL,1597818544
avarua,-21.21,-159.78,73.69,80,58,27.2,CK,1597818552
busselton,-33.65,115.33,62.01,45,17,7.23,AU,1597818552
sao filipe,14.9,-24.5,77.04,88,53,10.85,CV,1597818552
flinders,-34.58,150.86,55.99,69,27,25.99,AU,1597818552
east london,-33.02,27.91,53.6,50,75,23.04,ZA,1597818553
huarmey,-10.07,-78.15,59.11,85,45,10.8,PE,1597818553
lastoursville,-0.81,12.73,74.28,84,83,2.77,GA,1597818553
ribeira grande,38.52,-28.7,68,72,20,6.93,PT,1597818553
kokopo,-4.35,152.26,83.07,70,40,13.49,PG,1597818553
azangaro,-14.92,-70.22,35.19,81,7,1.79,PE,1597818554
ushuaia,-54.8,-68.3,28.4,92,75,2.24,AR,1597818318
khatanga,71.97,102.5,58.03,51,3,17.43,RU,1597818554
hithadhoo,-0.6,73.08,84.36,72,29,9.24,MV,1597818554
ilulissat,69.22,-51.1,44.6,56,96,8.14,GL,1597818554
mar del plata,-38,-57.56,39.99,74,17,9.17,AR,1597818547
codrington,-38.27,141.97,54,69,68,11.01,AU,1597818554
port shepstone,-30.74,30.45,58.69,44,0,24.54,ZA,1597818555
jati,24.35,68.27,93.45,56,92,14.76,PK,1597818555
georgetown,5.41,100.34,89.6,70,40,6.93,MY,1597818555
albany,42.6,-73.97,60.01,70,3,4.07,US,1597818531
mahebourg,-20.41,57.7,77,53,40,19.46,MU,1597818555
lagoa,39.05,-27.98,69.46,77,47,20.29,PT,1597818555
kilindoni,-7.91,39.67,77,75,26,5.55,TZ,1597818556
tual,-5.67,132.75,78.42,83,25,13.13,ID,1597818556
djougou,9.71,1.67,73.4,88,75,2.24,BJ,1597818556
jamestown,42.1,-79.24,57.99,93,75,3.53,US,1597818344
verkhoyansk,67.54,133.38,50.36,58,97,18.61,RU,1597818556
tasiilaq,65.61,-37.64,41,75,61,4.7,GL,1597818556
cape town,-33.93,18.42,46,81,20,4.7,ZA,1597818327
santa cruz,-17.8,-63.17,73.4,88,75,8.05,BO,1597818417
chokurdakh,70.63,147.92,36.99,83,100,9.75,RU,1597818557
srednekolymsk,67.45,153.68,57.29,45,92,4.92,RU,1597818557
sola,-13.88,167.55,80.6,88,90,14.16,VU,1597818557
tuatapere,-46.13,167.68,52,89,79,1.99,NZ,1597818557
bredasdorp,-34.53,20.04,44.6,81,20,5.82,ZA,1597818557
sorland,67.67,12.69,51.8,81,90,8.05,NO,1597818557
coquimbo,-29.95,-71.34,50,76,100,2.28,CL,1597818558
port lincoln,-34.73,135.87,56.7,70,15,22.19,AU,1597818558
kaitangata,-46.28,169.85,53.01,74,84,2.21,NZ,1597818558
komsomolskiy,40.43,71.72,77,44,90,2.24,UZ,1597818558
butaritari,3.07,172.79,83.97,70,0,9.71,KI,1597818558
juneau,58.3,-134.42,55.99,87,90,8.05,US,1597818558
sagauli,26.78,84.73,94.78,54,14,12.21,IN,1597818559
upernavik,72.79,-56.15,46.24,68,100,4.52,GL,1597818559
warmbad,-28.45,18.73,40.87,69,77,5.14,NA,1597818559
bluff,-46.6,168.33,52,89,71,1.99,NZ,1597818559
hilo,19.73,-155.09,75.2,78,75,8.05,US,1597818559
lorengau,-2.02,147.27,85.5,67,12,7.2,PG,1597818559
mecca,21.43,39.83,96.04,25,54,8.5,SA,1597818560
kieta,-6.22,155.63,82.67,72,15,4.14,PG,1597818560
lebu,-37.62,-73.65,43.32,76,0,13.29,CL,1597818560
sinegorye,62.08,150.48,51.04,76,100,4.45,RU,1597818560
severnoye,56.35,78.36,58.14,83,83,6.62,RU,1597818560
antofagasta,-23.65,-70.4,51.8,71,20,6.93,CL,1597818541
dhidhdhoo,6.88,73.1,82.94,69,84,7.2,MV,1597818560
vostok,46.49,135.88,58.01,93,100,3.78,RU,1597818560
marystown,47.17,-55.15,61,100,98,5.01,CA,1597818560
alice springs,-23.7,133.88,75,15,0,4.7,AU,1597818542
bereda,43.27,-7.54,68,77,65,15.01,ES,1597818561
fortuna,40.6,-124.16,55.99,91,43,3.83,US,1597818561
gorontalo,0.54,123.06,86.77,52,4,8.21,ID,1597818561
birjand,32.87,59.22,87.8,9,0,9.17,IR,1597818561
port keats,-14.25,129.55,84.83,53,12,10.49,AU,1597818561
yumen,40.28,97.2,91.9,11,0,20.92,CN,1597818562
along,28.17,94.77,93.79,45,10,2.8,IN,1597818562
the valley,18.22,-63.06,84.2,70,40,12.75,AI,1597818562
fallon,39.47,-118.78,78.8,36,40,5.82,US,1597818562
leningradskiy,69.38,178.42,49.01,62,61,11.99,RU,1597818562
chapleau,47.84,-83.4,45.48,94,11,3.02,CA,1597818562
te anau,-45.42,167.72,47.57,88,64,3.2,NZ,1597818563
port alfred,-33.59,26.89,54.23,69,54,23.69,ZA,1597818563
tuktoyaktuk,69.45,-133.04,53.6,87,20,4.7,CA,1597818563
manado,1.49,124.85,89.6,55,40,8.05,ID,1597818563
narsaq,60.92,-46.05,48.2,70,0,3.36,GL,1597818563
kuala terengganu,5.33,103.14,89.6,66,40,5.82,MY,1597818563
normandin,48.83,-72.53,53.6,93,75,8.05,CA,1597818564
itacoatiara,-3.14,-58.44,79.32,56,49,3.36,BR,1597818465
kapaa,22.08,-159.32,77,83,90,20.8,US,1597818564
sinnamary,5.38,-52.95,77.38,87,6,7.2,GF,1597818564
salinas,36.68,-121.66,69.8,64,1,4.7,US,1597818564
copiapo,-27.37,-70.33,51.8,71,1,2.24,CL,1597818564
great yarmouth,52.61,1.73,63,97,65,7.7,GB,1597818564
ancud,-41.87,-73.82,37,92,1,4.7,CL,1597818565
thompson,55.74,-97.86,59,93,90,5.82,CA,1597818560
hermanus,-34.42,19.23,41,92,56,7.05,ZA,1597818565
caravelas,-17.71,-39.25,70.56,92,6,5.44,BR,1597818565
pevek,69.7,170.31,44.83,67,75,7.45,RU,1597818565
hambantota,6.12,81.12,89.6,62,20,13.87,LK,1597818565
cefalu,38.04,14.02,78.01,81,45,1.99,IT,1597818565
chuy,-33.7,-53.46,49.33,89,0,11.25,UY,1597818565
pisco,-13.7,-76.22,57.99,87,75,4.7,PE,1597818314
barrow,71.29,-156.79,44.6,93,90,9.17,US,1597818566
coos bay,43.37,-124.22,57,100,90,2.13,US,1597818566
okhotsk,59.38,143.3,55.11,82,100,11.14,RU,1597818566
varnamo,57.19,14.04,64,95,64,3.65,SE,1597818566
kodiak,57.79,-152.41,57.2,76,90,4.7,US,1597818566
sitka,57.05,-135.33,55.4,87,90,5.82,US,1597818566
vaini,-21.2,-175.2,73.4,100,90,9.17,TO,1597818567
innisfail,-17.53,146.03,88,20,60,3,AU,1597818567
loikaw,19.67,97.21,69.3,94,100,2.77,MM,1597818567
coruripe,-10.13,-36.18,71.78,82,37,10.6,BR,1597818471
butiama,-1.77,33.97,69.8,83,75,5.99,TZ,1597818567
fairbanks,64.84,-147.72,63,67,40,0.72,US,1597818550
bambous virieux,-20.34,57.76,77,53,40,19.46,MU,1597818568
mehamn,71.04,27.85,51.8,81,97,4.7,NO,1597818568
butwal,27.7,83.45,87.39,72,56,4.07,NP,1597818568
indramayu,-6.33,108.32,86.65,58,59,15.5,ID,1597818568
westport,41.14,-73.36,69.8,68,20,3.36,US,1597818568
kysyl-syr,63.9,122.76,62.76,48,75,7.61,RU,1597818569
mbanza-ngungu,-5.25,14.87,69.26,82,95,7.78,CD,1597818569
cabedelo,-6.98,-34.83,69.8,88,20,3.36,BR,1597818569
ponta do sol,32.67,-17.1,69.8,73,20,5.82,PT,1597818569
champerico,14.3,-91.92,79.05,78,100,4.79,GT,1597818569
nurota,40.56,65.69,84.2,14,0,4.7,UZ,1597818569
saskylakh,71.92,114.08,48.9,55,98,9.64,RU,1597818569
shorapur,16.52,76.75,82.96,65,100,16.93,IN,1597818570
esperance,-33.87,121.9,55.4,100,75,16.11,AU,1597818570
yuzhno-kurilsk,44.03,145.86,69.55,81,39,6.93,RU,1597818570
nenjiang,49.18,125.22,66.99,54,1,10.65,CN,1597818570
roma,43.21,-75.46,59,87,90,0.18,US,1597818327
provideniya,64.38,-173.3,53.6,76,75,8.95,RU,1597818570
yellowknife,62.46,-114.35,59,77,75,10.29,CA,1597818380
cherskiy,68.75,161.3,51.08,65,94,7.14,RU,1597818571
coahuayana,18.73,-103.68,75.45,81,100,3.65,MX,1597818571
arraial do cabo,-22.97,-42.03,71.13,88,29,21.27,BR,1597818571
algiers,36.75,3.04,68,77,41,3.69,DZ,1597818571
dingle,11,122.67,84.87,79,99,7.4,PH,1597818572
puerto ayora,-0.74,-90.35,66,95,69,5.99,EC,1597818572
puerto escondido,15.85,-97.07,78.89,83,97,7.74,MX,1597818572
yining,29.04,114.56,96.17,52,98,0.89,CN,1597818572
white rock,49.02,-122.8,64.99,83,52,1.01,CA,1597818572
oranjemund,-28.55,16.43,51.31,56,13,11.12,NA,1597818573
saint-philippe,-21.36,55.77,77,57,38,14.99,RE,1597818573
cidreira,-30.18,-50.21,61.32,96,33,10.74,BR,1597818573
husavik,66.04,-17.34,46.4,75,36,2.24,IS,1597818573
mishelevka,52.86,103.17,80.91,42,13,9.91,RU,1597818573
tiksi,71.69,128.87,40.06,89,100,11.81,RU,1597818573
dalby,-27.18,151.27,75,19,4,1.99,AU,1597818573
pemangkat,1.17,108.97,87.78,60,99,2.73,ID,1597818517
chapais,49.78,-74.85,51.8,93,90,9.17,CA,1597818308
hakkari,37.58,44.17,71.6,46,0,1.12,TR,1597818452
bengkulu,-3.8,102.27,87.13,60,36,9.57,ID,1597818332
soyo,-6.13,12.37,71.6,94,75,6.93,AO,1597818574
punta arenas,-53.15,-70.92,33.8,86,73,16.11,CL,1597818564
lichtenburg,-26.15,26.16,34.54,75,0,18.45,ZA,1597818575
atlantic city,39.36,-74.42,73,83,1,3.36,US,1597818575
nara,34.69,135.8,107.01,39,20,8.05,JP,1597818575
lompoc,34.64,-120.46,66.99,72,1,3.36,US,1597818575
vila franca do campo,37.72,-25.43,69.8,77,20,6.93,PT,1597818558
paciran,-6.88,112.38,87.58,52,1,7.27,ID,1597818575
bull savanna,17.89,-77.59,77.29,86,2,4.27,JM,1597818576
paravur,8.78,76.7,87.8,70,40,6.93,IN,1597818576
grindavik,63.84,-22.43,51.8,93,90,6.93,IS,1597818576
jiaocheng,24.68,116.14,91.06,59,36,6.35,CN,1597818576
kawalu,-7.38,108.21,82.36,61,96,5.48,ID,1597818577
atuona,-9.8,-139.03,78.94,73,7,23.09,PF,1597818475
high prairie,55.43,-116.49,56.95,68,24,2.46,CA,1597818577
college,64.86,-147.8,63,72,75,4.7,US,1597818577
port blair,11.67,92.75,86.14,69,69,15.46,IN,1597818577
taonan,45.33,122.78,71.74,39,100,12.59,CN,1597818577
marienburg,54.04,19.03,70,100,98,7.92,PL,1597818577
airai,-8.93,125.41,75.4,44,28,3.8,TL,1597818578
bathsheba,13.22,-59.52,82.4,78,40,18.34,BB,1597818578
touros,-5.2,-35.46,69.8,94,20,3.36,BR,1597818578
junction city,39.03,-96.83,66.99,88,1,8.93,US,1597818578
miandrivazo,-19.52,45.47,79.11,37,0,4.45,MG,1597818578
progreso,21.28,-89.67,77.97,83,2,4.9,MX,1597818578
ribeira brava,32.65,-17.07,69.8,73,20,5.82,PT,1597818578
kavaratti,10.57,72.64,86,70,20,6.93,IN,1597818578
assiniboia,49.63,-105.98,77.22,30,16,8.97,CA,1597818579
mandera,3.94,41.87,79.95,60,95,17.67,KE,1597818579
porangatu,-13.44,-49.15,71.69,42,50,2.75,BR,1597818579
torbay,47.67,-52.73,59,100,90,18.34,CA,1597818654
saldanha,-33.01,17.94,35.6,73,1,3.36,ZA,1597818654
xining,36.62,101.77,75.29,33,17,3.24,CN,1597818655
vardo,70.37,31.11,51.8,76,75,5.82,NO,1597818655
yerbogachen,61.28,108.01,72.48,30,0,5.39,RU,1597818655
mongomo,1.63,11.31,69.66,96,100,1.97,GQ,1597818655
bilma,18.69,12.92,92.62,13,0,13.04,NE,1597818656
north bend,43.41,-124.22,57,100,90,2.24,US,1597818562
mozarlandia,-14.74,-50.57,72.28,37,16,3.96,BR,1597818656
victoria,22.29,114.16,84,88,100,4,HK,1597818512
longyearbyen,78.22,15.64,44.6,70,75,13.87,SJ,1597818656
sosnovo-ozerskoye,52.52,111.54,67.6,44,0,7.94,RU,1597818656
eganville,45.53,-77.1,51.8,100,1,4.97,CA,1597818657
euclides da cunha,-10.51,-39.02,63.77,99,47,7.87,BR,1597818506
artesia,33.87,-118.08,75,88,1,4.7,US,1597818657
dillingen,49.35,6.73,63,88,100,2.91,DE,1597818657
neiafu,-18.65,-173.98,77,100,90,9.17,TO,1597818658
alexandria,31.22,29.96,80.6,61,40,5.82,EG,1597818658
hofn,64.25,-15.21,48.06,74,96,16.37,IS,1597818658
ornskoldsvik,63.29,18.72,60.8,93,12,3.36,SE,1597818658
wiang sa,8.64,99.37,93.99,67,90,3.94,TH,1597818658
west bay,19.37,-81.42,84,74,30,7.94,KY,1597818659
chumikan,54.72,135.31,60.96,52,93,12.33,RU,1597818659
barcelos,41.54,-8.62,68,88,40,12.75,PT,1597818659
santa isabel do rio negro,-0.41,-65.02,73.72,94,57,2.21,BR,1597818638
abha,18.22,42.51,80.6,44,43,10.29,SA,1597818659
cockburn town,21.46,-71.14,83.34,81,4,17.47,TC,1597818467
tilichiki,60.47,166.1,53.83,70,100,7.78,RU,1597818660
castro,-24.79,-50.01,57.61,98,100,3.71,BR,1597818639
kruisfontein,-34,24.73,48.99,86,50,3,ZA,1597818660
labuhan,-6.88,112.21,87.33,54,5,9.91,ID,1597818660
szecseny,48.08,19.52,71.01,93,75,4.38,HU,1597818660
carnarvon,-24.87,113.63,73.4,31,88,12.75,AU,1597818660
terre-de-bas,15.85,-61.64,80.6,78,28,6.93,GP,1597818661
vikhorevka,56.12,101.16,75.2,47,100,8.95,RU,1597818661
itarema,-2.92,-39.92,76.51,83,77,16.75,BR,1597818661
dikson,73.51,80.55,57.47,62,0,10.02,RU,1597818542
fereydun kenar,36.69,52.52,75.2,78,90,4.7,IR,1597818662
henties bay,-22.12,14.28,61.74,36,0,4.47,NA,1597818662
stornoway,58.21,-6.39,60.01,93,40,1.12,GB,1597818662
silvan,38.14,41.01,78.8,34,0,3.36,TR,1597818662
myitkyina,25.38,97.4,76.14,92,100,0.47,MM,1597818504
roald,62.58,6.13,64,93,75,5.82,NO,1597818662
ibresi,55.3,47.04,58.53,56,0,9.51,RU,1597818663
mulege,26.88,-111.98,89.51,51,52,9.51,MX,1597818663
ostrovnoy,68.05,39.51,54.57,63,0,0.85,RU,1597818663
whitianga,-36.83,175.7,57,96,100,7.92,NZ,1597818663
saint george,37.1,-113.58,95,16,1,5.82,US,1597818649
moron,-34.65,-58.62,48.99,57,95,3,AR,1597818558
stowe,40.25,-75.68,66.99,93,75,1.88,US,1597818424
bodden town,19.28,-81.25,84,72,36,5.01,KY,1597818664
hualmay,-11.1,-77.61,58.3,85,56,9.6,PE,1597818664
severo-kurilsk,50.68,156.12,50.05,91,100,15.35,RU,1597818664
umea,63.83,20.26,62.01,93,90,4.7,SE,1597818664
guerrero negro,27.98,-114.06,76.53,71,0,7,MX,1597818665
malkangiri,18.35,81.9,76.59,92,100,8.99,IN,1597818665
kahului,20.89,-156.47,80.6,61,1,12.75,US,1597818461
livingston,55.9,-3.52,57.99,100,90,3.36,GB,1597818665
medgyesegyhaza,46.5,21.03,68,94,90,2.24,HU,1597818665
okha,53.57,142.95,56.34,83,62,23.24,RU,1597818665
dwarka,22.24,68.97,84.43,81,100,22.64,IN,1597818666
amahai,-3.33,128.92,79.56,71,64,6.76,ID,1597818666
salalah,17.02,54.09,77,100,90,5.82,OM,1597818666
acapulco,16.86,-99.89,80.42,82,97,9.06,MX,1597818384
sibu,2.3,111.82,87.8,66,40,6.93,MY,1597818666
nuuk,64.18,-51.72,50,71,0,5.35,GL,1597818666
plettenberg bay,-34.05,23.37,49.39,78,100,9.26,ZA,1597818667
port elizabeth,-33.92,25.57,50,87,40,16.11,ZA,1597818667
new norfolk,-42.78,147.06,55.99,74,98,3,AU,1597818667
rochefort,45.92,-1,68,82,99,9.17,FR,1597818667
karpathos,35.51,27.21,78.8,65,0,31.09,GR,1597818667
rio novo,-21.46,-43.13,64,92,0,1.01,BR,1597818668
kavieng,-2.57,150.8,84.2,72,23,8.61,PG,1597818668
kalmunai,7.42,81.82,89.62,53,100,10.2,LK,1597818668
destin,30.39,-86.5,82.4,78,75,9.17,US,1597818668
nogliki,51.83,143.17,62.91,64,0,15.1,RU,1597818668
sayyan,15.17,44.32,73.8,30,40,5.61,YE,1597818669
nizwa,22.93,57.53,100.81,29,82,4.16,OM,1597818669
general roca,-39.03,-67.58,39.2,55,0,4.7,AR,1597818669
talnakh,69.49,88.4,73.4,31,3,13.42,RU,1597818669
banjar,-8.19,114.97,82.4,78,40,16.11,ID,1597818670
sumbe,-11.21,13.84,70.97,84,83,3.18,AO,1597818670
vila velha,-20.33,-40.29,75,88,20,6.93,BR,1597818670
port hardy,50.7,-127.42,55.4,100,75,3.36,CA,1597818670
puebloviejo,10.99,-74.28,80.6,88,40,4.7,CO,1597818670
comodoro rivadavia,-45.87,-67.5,33.8,50,0,10.29,AR,1597818671
balaipungut,1.05,101.28,87.8,62,40,11.41,ID,1597818671
kashi,39.45,75.98,77,38,40,2.24,CN,1597818671
bryan,30.67,-96.37,75.2,64,1,7.45,US,1597818450
cody,44.53,-109.06,77,31,20,10.29,US,1597818671
lieksa,63.32,30.02,60.19,70,95,7.85,FI,1597818671
maniitsoq,65.42,-52.9,50.5,68,0,7.16,GL,1597818671
cabo san lucas,22.89,-109.91,84,76,100,7.85,MX,1597818672
seymchan,62.88,152.43,58.82,60,100,9.44,RU,1597818672
two hills,53.72,-111.75,67.39,73,83,3.13,CA,1597818672
norman wells,65.28,-126.83,55.4,82,75,2.24,CA,1597818672
jizan,17.33,42.67,95,53,20,6.93,SA,1597818673
kendari,-3.94,122.5,83.62,55,29,7.74,ID,1597818673
kimbe,-5.55,150.14,84.49,65,35,1.83,PG,1597818673
murgab,37.5,61.97,86,22,0,11.41,TM,1597818673
