City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
zhanaozen,43.3,52.8,80.49,30,0,7.65,KZ,1597818673
ponta delgada,37.73,-25.67,69.8,77,20,6.93,PT,1597818673
qaanaaq,77.48,-69.36,44.04,81,100,5.41,GL,1597818674
sambava,-14.27,50.17,76.28,63,52,10.65,MG,1597818674
astana,51.18,71.45,60.8,77,75,13.42,KZ,1597818497
fort nelson,58.81,-122.7,51.8,100,40,5.23,CA,1597818674
ferrol,43.48,-8.24,70,82,20,19.46,ES,1597818674
luanda,-8.84,13.23,69.66,90,97,2.59,AO,1597818519
ararangua,-28.93,-49.49,62.82,90,100,3.53,BR,1597818674
karachi,24.91,67.08,89.6,66,75,17.22,PK,1597818448
alofi,-19.06,-169.92,75.2,94,100,12.75,NU,1597818675
camopi,3.17,-52.32,70.86,97,100,1.57,GF,1597818675
hami,42.8,93.45,98.85,8,17,7.76,CN,1597818675
oktyabrskiy,54.48,53.47,57.13,57,0,15.84,RU,1597818675
fukuma,33.77,130.47,104,50,40,9.17,JP,1597818675
karasjok,69.47,25.51,53.22,73,97,6.87,NO,1597818675
nikolskoye,59.7,30.79,63,62,0,8.95,RU,1597818676
valdosta,30.83,-83.28,71.6,94,1,2.91,US,1597818605
beringovskiy,63.05,179.32,52.21,67,64,2.95,RU,1597818676
kem,64.96,34.58,57.79,61,27,8.46,RU,1597818676
jonesboro,35.84,-90.7,73.4,69,1,5.82,US,1597818676
cairns,-16.92,145.77,80.01,57,30,8.05,AU,1597818676
waipawa,-41.41,175.52,53.6,93,100,6.93,NZ,1597818395
kalamare,-22.93,26.57,45.19,44,0,14.74,BW,1597818677
klaksvik,62.23,-6.59,50,76,100,4.7,FO,1597818677
aripuana,-9.17,-60.63,72.95,40,0,1.3,BR,1597818568
gwembe,-16.5,27.61,71.4,23,0,6.33,ZM,1597818677
mount gambier,-37.83,140.77,53.6,71,40,19.46,AU,1597818678
manacapuru,-3.3,-60.62,75.2,94,0,3.36,BR,1597818678
christchurch,-43.53,172.63,54,87,100,10.29,NZ,1597818580
zamosc,50.72,23.25,66.2,100,92,2.24,PL,1597818679
visegrad,43.78,19.3,57.2,100,75,6.93,BA,1597818679
ginir,7.13,40.7,63.32,75,100,7.58,ET,1597818679
sawtell,-30.38,153.1,75.2,22,13,10.29,AU,1597818679
coffs harbour,-30.3,153.13,75.2,22,26,10.29,AU,1597818669
yar-sale,66.83,70.83,62.31,61,100,17.98,RU,1597818680
storm lake,42.64,-95.21,60.8,87,1,6.93,US,1597818680
lazaro cardenas,17.96,-102.2,76.12,84,76,4,MX,1597818680
faanui,-16.48,-151.75,78.12,76,18,23.98,PF,1597818680
deputatskiy,69.3,139.9,36.1,84,100,5.64,RU,1597818680
talcahuano,-36.72,-73.12,44.6,70,43,9.17,CL,1597818434
teguldet,57.31,88.17,72.19,47,100,7.05,RU,1597818681
nago,26.59,127.98,91.4,63,40,11.41,JP,1597818681
requena,39.49,-1.1,68,64,0,0.34,ES,1597818681
kijang,35.24,129.21,91.4,59,20,16.11,KR,1597818681
olafsvik,64.89,-23.71,47.62,82,100,14.56,IS,1597818681
zonguldak,41.25,31.83,66.2,72,0,5.82,TR,1597818682
amapa,1,-52,70.32,98,30,1.63,BR,1597818682
aklavik,68.22,-135.01,50,81,40,2.24,CA,1597818682
kelvington,52.17,-103.53,67.69,57,0,5.84,CA,1597818682
yelanskiy,56.84,62.5,50.86,91,100,14.07,RU,1597818682
otyniya,48.74,24.86,66.2,82,100,3.06,UA,1597818682
ust-ordynskiy,52.8,104.75,80.6,42,0,13.42,RU,1597818683
orel,52.97,36.08,67.89,69,73,7.54,RU,1597818683
katsuura,35.13,140.3,93.99,49,75,13.87,JP,1597818683
gazojak,41.19,61.4,85.15,14,0,6.4,TM,1597818683
erzin,36.96,36.2,82,78,31,7,TR,1597818683
qui nhon,13.77,109.23,89.67,60,34,4.34,VN,1597818683
broome,42.25,-75.83,57,100,60,1.45,US,1597818683
maroantsetra,-15.43,49.73,73.69,70,25,2.13,MG,1597818684
churapcha,62,132.43,68.81,28,80,7.09,RU,1597818684
taltal,-25.4,-70.48,49.62,73,0,1.83,CL,1597818684
east wenatchee bench,47.43,-120.28,80.6,26,1,12.75,US,1597818684
kingston,18,-76.79,82.4,78,20,1.12,JM,1597818391
nioro,13.35,-15.75,77.95,91,100,5.91,GM,1597818685
hamilton,39.18,-84.53,66.2,82,90,6.93,US,1597818445
gitarama,-2.07,29.76,68,64,75,3.36,RW,1597818685
clyde river,70.47,-68.59,46.4,93,90,3.29,CA,1597818685
sakakah,29.97,40.21,84.2,26,0,10.29,SA,1597818685
santa cruz de la palma,28.68,-17.76,70,83,0,9.17,ES,1597818686
pechora,65.15,57.22,61,76,100,5.66,RU,1597818686
ceres,37.59,-120.96,93.2,21,40,10.29,US,1597818641
terrace,54.52,-128.6,53.6,81,20,3.36,CA,1597818686
walvis bay,-22.96,14.51,51.8,25,0,12.75,NA,1597818686
tamasane,-22.42,27.4,50,46,0,6.93,BW,1597818687
bilibino,68.05,166.44,51.48,62,65,7.36,RU,1597818687
san isidro,-12.12,-77.05,59,82,90,8.05,PE,1597818687
mineiros,-17.57,-52.55,70.66,34,0,7.09,BR,1597818687
mezhova,48.25,36.73,81.54,38,47,2.75,UA,1597818688
ixtapa,20.7,-105.2,75.99,95,100,3.13,MX,1597818653
agirish,61.92,63.02,54.99,96,100,7.94,RU,1597818688
luau,-10.71,22.22,75.69,20,11,4.83,AO,1597818688
togur,58.36,82.83,70.72,48,28,11.95,RU,1597818688
padang,-0.95,100.35,84.58,67,28,5.3,ID,1597818689
eyl,7.98,49.82,89.13,48,9,24.43,SO,1597818689
bilokurakyne,49.53,38.73,81.57,45,1,2.08,UA,1597818689
mont-dore,-22.28,166.58,73.4,60,0,5.82,NC,1597818689
chiknayakanhalli,13.42,76.62,82.18,60,91,11.54,IN,1597818689
vao,-22.67,167.48,68.92,56,0,1.54,NC,1597818689
abay,49.63,72.85,69.8,43,40,22.37,KZ,1597818690
avera,33.19,-82.53,69.8,88,75,3.06,US,1597818690
gigmoto,13.78,124.39,84.94,75,40,5.37,PH,1597818690
dzerzhinskoye,56.83,95.23,70.39,81,100,9.22,RU,1597818690
vanavara,60.34,102.28,78.13,29,0,7.63,RU,1597818690
isparta,38,31,75.2,47,0,2.75,TR,1597818691
media luna,20.14,-77.44,80.15,78,0,2.01,CU,1597818691
najran,17.49,44.13,95,15,9,2.24,SA,1597818691
cayenne,4.93,-52.33,78.8,100,16,3.36,GF,1597818525
saint-leu,-21.15,55.28,77,57,3,14.99,RE,1597818691
ketchikan,55.34,-131.65,57.2,100,90,6.93,US,1597818645
ballitoville,-29.54,31.21,59,33,0,5.82,ZA,1597818692
aleksandrov gay,50.15,48.57,72.95,30,14,0.4,RU,1597818692
havre-saint-pierre,50.23,-63.6,57.2,100,90,5.82,CA,1597818692
borogontsy,62.67,131.17,68.02,34,13,7.2,RU,1597818692
shieli,44.17,66.75,83.89,22,0,10.51,KZ,1597818692
bara,10.37,10.73,77.56,85,96,7.29,NG,1597818693
saint-joseph,-21.37,55.62,77,57,7,14.99,RE,1597818693
gouyave,12.16,-61.73,80.6,88,40,5.82,GD,1597818693
birao,10.28,22.79,75.47,89,100,7.67,CF,1597818693
lalibela,12.03,39.03,66.2,67,100,2.24,ET,1597818694
constitucion,-35.33,-72.42,45.25,75,0,9.66,CL,1597818694
naraini,25.18,80.48,82.4,94,75,1.36,IN,1597818694
hasaki,35.73,140.83,99,66,75,12.75,JP,1597818657
adrar,20.5,-10.07,92.05,16,50,13.35,MR,1597818694
sepuka,-4.75,34.53,72.7,46,72,10.89,TZ,1597818695
novyy urengoy,66.08,76.63,72.5,42,100,17.74,RU,1597818695
lima,-12.04,-77.03,59,82,90,8.05,PE,1597818404
tavricheskoye,54.59,73.64,62.6,67,75,13.42,RU,1597818695
xuzhou,34.18,117.16,91.85,64,100,6.73,CN,1597818695
majene,-3.54,118.97,86.7,50,77,13.62,ID,1597818581
binga,-17.62,27.34,70.92,22,0,10.31,ZW,1597818695
inirida,3.87,-67.92,73.54,94,100,2.21,CO,1597818696
marevo,57.31,32.08,65.68,56,7,5.48,RU,1597818696
villamontes,-21.25,-63.5,63.09,83,0,2.3,BO,1597818618
haines junction,60.75,-137.51,45.14,77,20,3.42,CA,1597818696
keti bandar,24.14,67.45,87.33,74,79,16.35,PK,1597818697
bridgetown,13.1,-59.62,82.4,78,40,18.34,BB,1597818697
lasa,46.62,10.7,51.8,100,20,3.36,IT,1597818435
santa rosa,14.31,121.11,86,70,65,10.29,PH,1597818697
maldonado,-34.67,-54.92,48.99,81,0,16.11,UY,1597818697
seydi,39.48,62.91,87.04,13,0,9.1,TM,1597818697
huanren,41.26,125.37,69.28,93,100,4.61,CN,1597818698
funtua,11.52,7.31,72,88,64,11.5,NG,1597818698
naze,28.37,129.48,91.4,66,20,11.41,JP,1597818663
zyryanka,65.75,150.85,62.04,41,97,8.63,RU,1597818698
waddan,29.16,16.14,90.75,21,0,3.29,LY,1597818698
praia da vitoria,38.73,-27.07,69.8,77,75,17.2,PT,1597818698
bubaque,11.28,-15.83,80.65,85,100,15.03,GW,1597818699
kinkala,-4.36,14.76,72.46,79,100,6.17,CG,1597818699
bol,13.46,14.71,80.26,81,99,12.26,TD,1597818699
bethel,41.37,-73.41,60.01,93,1,3.04,US,1597818699
gizo,-8.1,156.84,82.04,76,8,5.12,SB,1597818699
san quintin,30.48,-115.95,77.47,71,0,4.99,MX,1597818501
amga,60.9,131.96,67.8,33,100,6.8,RU,1597818700
los llanos de aridane,28.66,-17.92,70,83,0,9.17,ES,1597818551
lashio,22.93,97.75,67.87,100,100,0.78,MM,1597818578
geraldton,-28.77,114.6,64.4,55,75,8.05,AU,1597818643
ust-maya,60.42,134.53,66.4,34,95,8.12,RU,1597818700
pachino,36.72,15.09,77,63,0,7.27,IT,1597818701
pudozh,61.81,36.53,58.3,65,92,3.15,RU,1597818701
jogeva,58.75,26.39,66,82,1,1.12,EE,1597818701
tazovskiy,67.47,78.7,65.35,54,7,14.72,RU,1597818465
pahrump,36.21,-115.98,96.8,13,1,11.41,US,1597818701
emerald,-23.53,148.17,89.6,17,0,12.75,AU,1597818494
mogadishu,2.04,45.34,78.8,69,75,11.41,SO,1597818629
srandakan,-7.94,110.25,85.51,58,19,18.01,ID,1597818502
triolet,-20.05,57.55,75,66,0,13,MU,1597818702
ahipara,-35.17,173.17,57.09,92,17,9.1,NZ,1597818702
gat,31.61,34.76,81,77,10,5.39,IL,1597818702
asuncion,-25.3,-57.64,69.8,94,79,5.82,PY,1597818694
minas novas,-17.22,-42.59,61.92,93,27,1.79,BR,1597818702
kizhinga,51.85,109.91,75.36,30,6,4.41,RU,1597818703
hoa binh,20.81,105.34,87.8,66,75,5.82,VN,1597818703
aksarka,66.56,67.8,65.46,64,86,17.56,RU,1597818703
richards bay,-28.78,32.04,63.46,33,0,15.66,ZA,1597818703
faya,18.39,42.45,80.6,44,49,10.29,SA,1597818703
alamogordo,32.9,-105.96,78.01,38,1,3.78,US,1597818703
slave lake,55.28,-114.77,64.4,59,1,6.93,CA,1597818463
malpe,13.35,74.72,80.6,88,75,11.41,IN,1597818704
inta,66.03,60.17,66.56,60,96,10.38,RU,1597818704
orlik,52.52,99.83,74.77,31,34,2.59,RU,1597818704
fresno,36.67,-119.83,93.2,36,40,13.87,US,1597818704
rawson,-43.3,-65.1,38.32,77,58,21.74,AR,1597818705
laranjeiras do sul,-25.41,-52.42,55.94,100,100,3.85,BR,1597818705
polis,35.04,32.43,86,69,20,4.7,CY,1597818705
chara,56.91,118.26,65.08,31,0,2.68,RU,1597818705
mormugao,15.4,73.8,84.2,83,40,16.11,IN,1597818705
lodja,-3.48,23.43,85.87,52,25,4.16,CD,1597818705
pangnirtung,66.15,-65.71,53.78,59,99,2.66,CA,1597818706
vestmanna,62.16,-7.17,50,76,99,4.7,FO,1597818706
pozo colorado,-23.49,-58.8,66.06,94,100,1.39,PY,1597818706
gari,59.43,62.35,56.71,92,100,10.07,RU,1597818706
nagai,38.1,140.03,93,55,20,3.36,JP,1597818706
boulder city,35.98,-114.83,96.01,18,1,6.73,US,1597818503
benguela,-12.58,13.41,68,88,90,2.17,AO,1597818706
bijar,35.87,47.61,76.73,29,0,8.28,IR,1597818707
genhe,50.78,121.52,66.69,35,55,6.51,CN,1597818707
santa maria,-29.68,-53.81,53.58,94,9,2.64,BR,1597818607
kingsport,36.55,-82.56,68,77,75,4.7,US,1597818707
muroto,33.28,134.15,87.8,79,40,10.29,JP,1597818707
arlit,18.74,7.39,91.13,18,0,6.04,NE,1597818708
diffa,13.32,12.61,83.82,56,61,12.95,NE,1597818708
sacama,-3.9,-79.27,51.13,100,88,1.07,EC,1597818708
otane,-39.88,176.63,52,94,100,10,NZ,1597818708
evensk,61.95,159.23,48.67,91,100,5.66,RU,1597818708
sterling,39.01,-77.43,71.01,94,75,1.28,US,1597818599
lukulu,-14.37,23.24,68.52,23,0,9.37,ZM,1597818709
eresos,39.17,25.93,73.4,78,0,3.36,GR,1597818709
severo-yeniseyskiy,60.37,93.04,68.68,68,100,5.68,RU,1597818709
khor,47.89,134.95,68.07,71,89,8.52,RU,1597818709
minuwangoda,7.17,79.95,87.8,70,40,10.29,LK,1597818709
contai,21.78,87.75,85.84,76,91,6.82,IN,1597818709
liyang,29.71,118.29,91,81,1,3.33,CN,1597818710
rundu,-17.93,19.77,51.96,41,8,11.63,NA,1597818710
bileca,42.87,18.43,71.6,60,0,18.34,BA,1597818710
sainte-rose,16.33,-61.7,80.6,78,32,6.93,GP,1597818710
santa clara,22.4,-79.97,77,94,20,2.24,CU,1597818710
asfi,32.3,-9.24,69.12,88,0,13.47,MA,1597818711
tautira,-17.73,-149.15,77,69,20,2.24,PF,1597818711
dapaong,10.86,0.2,73.58,92,5,11.16,TG,1597818711
yinchuan,38.47,106.27,84.54,22,0,9.57,CN,1597818641
pala,9.36,14.9,71.4,97,100,6.44,TD,1597818711
meulaboh,4.14,96.13,86.45,61,64,6.91,ID,1597818712
rancho palos verdes,33.74,-118.39,73.99,83,21,1.72,US,1597818712
quzhou,28.96,118.87,94.68,51,0,4.68,CN,1597818663
nizhnevartovsk,60.93,76.55,66.2,68,40,8.95,RU,1597818712
olpad,21.33,72.75,80.6,94,90,5.82,IN,1597818712
novoagansk,61.94,76.66,63.82,73,94,6.38,RU,1597818712
krasnoselkup,65.7,82.47,76.05,35,2,17.02,RU,1597818712
eenhana,-17.47,16.33,53.6,27,0,5.82,NA,1597818713
jaru,-10.44,-62.47,74.64,44,19,1.05,BR,1597818713
beyneu,45.32,55.2,81.37,36,3,6.58,KZ,1597818713
dale,38.17,-86.99,66.2,100,1,4.7,US,1597818713
tanout,14.97,8.89,84.7,57,2,15.99,NE,1597818713
yuncheng,35.02,110.99,69.71,82,100,2.46,CN,1597818713
lewistown,40.6,-77.57,64.99,87,20,2.15,US,1597818713
ardakan,32.31,54.02,89.6,19,0,6.93,IR,1597818714
iquique,-20.22,-70.14,59,77,90,8.05,CL,1597818714
slonim,53.09,25.32,66.87,90,100,3.74,BY,1597818714
sistranda,63.73,8.83,61,87,75,2.24,NO,1597818714
kirovskiy,45.09,133.51,62.26,94,100,5.79,RU,1597818714
glendive,47.11,-104.71,80.01,31,1,8.05,US,1597818714
carballo,43.21,-8.69,70,82,20,19.46,ES,1597818629
bandarbeyla,9.49,50.81,87.66,50,0,27.72,SO,1597818715
shelburne,44.08,-80.2,55.99,93,90,3.36,CA,1597818715
tairua,-37.02,175.85,57,91,100,8.75,NZ,1597818715
khorinsk,52.17,109.77,73.24,31,0,5.37,RU,1597818715
akyab,20.15,92.9,80.51,88,100,19.89,MM,1597818715
manaure,11.78,-72.44,80.8,81,100,2.08,CO,1597818716
mount isa,-20.73,139.5,91.4,14,89,9.17,AU,1597818641
port hedland,-20.32,118.57,86,16,87,11.41,AU,1597818716
lucea,18.45,-78.17,79,88,20,11.41,JM,1597818716
luwuk,-0.95,122.79,83.44,60,16,9.46,ID,1597818716
de aar,-30.65,24.01,34.68,82,2,4.97,ZA,1597818716
egersund,58.45,6,64,94,77,5.01,NO,1597818716
saint-pierre,-21.34,55.48,77,57,0,14.99,RE,1597818717
piracuruca,-3.93,-41.71,68.79,81,0,3.67,BR,1597818717
solano,38.23,-121.95,91.4,30,1,12.75,US,1597818717
shishou,29.72,112.42,87.17,75,100,4.05,CN,1597818717
taoudenni,22.68,-3.98,95.94,32,0,5.21,ML,1597818717
raudeberg,61.99,5.14,63,92,98,8.23,NO,1597818717
kilrush,52.64,-9.48,59,100,75,4.7,IE,1597818718
punta alta,-38.88,-62.07,40.86,71,60,19.91,AR,1597818718
melito di porto salvo,37.92,15.77,80.6,65,0,10.29,IT,1597818718
kavaje,41.19,19.56,73.4,83,20,4.7,AL,1597818718
at-bashi,41.17,75.81,69.13,32,49,5.39,KG,1597818719
tigil,57.8,158.67,54.93,97,100,4.14,RU,1597818719
atikokan,48.76,-91.62,54.36,96,100,6.22,CA,1597818719
nome,64.5,-165.41,55.99,100,90,8.05,US,1597818719
never,46.99,3.16,62.6,100,100,3.36,FR,1597818719
gryazovets,58.88,40.25,57,56,0,6.15,RU,1597818719
nawa,27.02,75,91.69,59,100,10.2,IN,1597818720
birin,26.89,88.07,87.8,74,75,4.7,NP,1597818720
houma,29.6,-90.72,79,88,40,2.33,US,1597818703
jacareacanga,-6.22,-57.75,72.95,46,0,1.39,BR,1597818720
calama,-22.47,-68.93,24.8,38,0,18.34,CL,1597818720
san patricio,19.22,-104.7,77.29,85,100,4.38,MX,1597818498
nyazepetrovsk,56.05,59.6,46.2,86,100,13.65,RU,1597818721
souillac,-20.52,57.52,77,53,40,19.46,MU,1597818721
oranjestad,12.52,-70.03,82.4,83,20,2.24,AW,1597818721
monte patria,-30.69,-70.95,50.95,71,100,1.39,CL,1597818721
moose factory,51.26,-80.61,46.4,100,90,3.36,CA,1597818722
sao joao da barra,-21.64,-41.05,71.56,83,0,17.02,BR,1597818722
upata,8.01,-62.4,78.01,90,100,1.01,VE,1597818722
abu kamal,34.45,40.92,92.52,22,0,13.51,SY,1597818722
korem,12.51,39.52,68.09,50,100,5.68,ET,1597818722
umm lajj,25.02,37.27,92.41,43,0,10.8,SA,1597818723
cabo rojo,18.09,-67.15,78.01,91,0,6.96,PR,1597818723
morondava,-20.28,44.28,77.14,47,0,3.4,MG,1597818723
kirkuk,35.47,44.39,98.1,9,0,7.16,IQ,1597818723
aksu,41.12,80.26,84.61,24,100,10.31,CN,1597818724
collie,-33.37,116.15,62.01,45,33,7.27,AU,1597818724
preobrazheniye,42.9,133.91,80.82,67,0,13.58,RU,1597818724
ambon,-3.7,128.18,86,55,20,5.82,ID,1597818466
sinegorskiy,48.01,40.84,76.39,47,100,1.97,RU,1597818724
bayang,7.79,124.19,75.27,88,100,4.23,PH,1597818724
constantine,36.37,6.61,71.6,53,20,1.12,DZ,1597818724
tignere,7.37,12.65,66.67,98,100,1.01,CM,1597818725
ekhabi,53.51,142.97,56.53,83,62,22.59,RU,1597818725
lazurne,46.08,32.53,78.8,29,0,4.47,UA,1597818725
